date,type,value
1980-07-01,pop_15yr_over,10924102.862
1980-08-01,emp,6281350.6348
1980-08-01,uemp,394510.5467
1980-08-01,lf,6675861.1815
1980-08-01,nilf,4264871.7181
1980-08-01,pop_15yr_over,10940732.8996
1980-09-01,emp,6360031.3794
1980-09-01,uemp,407570.4583
1980-09-01,lf,6767601.8377
1980-09-01,nilf,4192029.3353
1980-09-01,pop_15yr_over,10959631.173
1980-10-01,emp,6320229.556
1980-10-01,uemp,378502.6623
1980-10-01,lf,6698732.2183
1980-10-01,nilf,4278458.702
1980-10-01,pop_15yr_over,10977190.9203
1980-11-01,emp,6341950.7671
1980-11-01,uemp,359639.75090000004
1980-11-01,lf,6701590.518
1980-11-01,nilf,4295430.5253
1980-11-01,pop_15yr_over,10997021.0433
1980-12-01,emp,6426590.550799999
1980-12-01,uemp,435712.7091
1980-12-01,lf,6862303.2599
1980-12-01,nilf,4156781.755
1980-12-01,pop_15yr_over,11019085.014899999
1981-01-01,emp,6252956.7582
1981-01-01,uemp,433845.4117
1981-01-01,lf,6686802.1699
1981-01-01,nilf,4350100.7757
1981-01-01,pop_15yr_over,11036902.945600001
1981-02-01,emp,6356507.8944999995
1981-02-01,uemp,427657.3366
1981-02-01,lf,6784165.2310999995
1981-02-01,nilf,4272808.7507
1981-02-01,pop_15yr_over,11056973.9818
1981-03-01,emp,6428069.8898
1981-03-01,uemp,413346.5417
1981-03-01,lf,6841416.4315
1981-03-01,nilf,4237894.7977
1981-03-01,pop_15yr_over,11079311.2292
1981-04-01,emp,6426349.364800001
1981-04-01,uemp,379485.40780000004
1981-04-01,lf,6805834.7726
1981-04-01,nilf,4287774.2662
1981-04-01,pop_15yr_over,11093609.0388
1981-05-01,emp,6412350.7268
1981-05-01,uemp,379296.5304
1981-05-01,lf,6791647.2572
1981-05-01,nilf,4318536.7975
1981-05-01,pop_15yr_over,11110184.054699998
1981-06-01,emp,6413944.8045
1981-06-01,uemp,353673.309
1981-06-01,lf,6767618.1135
1981-06-01,nilf,4360338.986099999
1981-06-01,pop_15yr_over,11127957.0996
1981-07-01,emp,6425321.6636
1981-07-01,uemp,378235.7853
1981-07-01,lf,6803557.4489
1981-07-01,nilf,4343154.5537
1981-07-01,pop_15yr_over,11146712.0026
1981-08-01,emp,6393743.6143000005
1981-08-01,uemp,380556.93830000004
1981-08-01,lf,6774300.5526
1981-08-01,nilf,4391178.486
1981-08-01,pop_15yr_over,11165479.0386
1981-09-01,emp,6502697.0811
1981-09-01,uemp,393959.3362
